found,author,combinedName,kingdom,tsn,unitInd1,unitInd2,unitInd3,unitInd4,unitName1,unitName2,unitName3,unitName4,final_id,full_hierarchy
TRUE,"N. S. Jones and Burbanck, 1959",almyracuma proximoculi,Animalia,90979,,,,,Almyracuma,proximoculi,,,almyracuma_proximoculi,TRUE
TRUE,"N. S. Jones and Burbanck, 1959",almyracuma,Animalia,90978,,,,,Almyracuma,,,,almyracuma,TRUE
TRUE,"Roback, 1971",alotanypus,Animalia,206646,,,,,Alotanypus,,,,alotanypus_aris,FALSE
TRUE,"Roback, 1971",alotanypus,Animalia,206646,,,,,Alotanypus,,,,alotanypus,TRUE
TRUE,"Needham, 1905",ameletus ludens,Animalia,101010,,,,,Ameletus,ludens,,,ameletus_ludens,TRUE
TRUE,"Eaton, 1885",ameletus,Animalia,100996,,,,,Ameletus,,,,ameletus,TRUE
TRUE,"Gould and Haldeman, 1841",amnicola,Animalia,70747,,,,,Amnicola,,,,amnicola_decepta,FALSE
TRUE,"(Say, 1822)",amnicola granum,Animalia,70772,,,,,Amnicola,granum,,,amnicola_granum,TRUE
TRUE,"(Say, 1817)",amnicola limosus,Animalia,70748,,,,,Amnicola,limosus,,,amnicola_limosus,TRUE
TRUE,"Gould and Haldeman, 1841",amnicola,Animalia,70747,,,,,Amnicola,,,,amnicola,TRUE
TRUE,"Chen, 1944",amphichaeta americana,Animalia,68981,,,,,Amphichaeta,americana,,,amphichaeta_americana,TRUE
TRUE,"Tauber, 1879",amphichaeta,Animalia,68979,,,,,Amphichaeta,,,,amphichaeta,TRUE
TRUE,"(Ricker, 1952)",amphinemura delosa,Animalia,102541,,,,,Amphinemura,delosa,,,amphinemura_delosa,TRUE
TRUE,"(Provancher, 1876)",amphinemura nigritta,Animalia,102542,,,,,Amphinemura,nigritta,,,amphinemura_nigritta,TRUE
TRUE,"Ris, 1902",amphinemura,Animalia,102540,,,,,Amphinemura,,,,amphinemura,TRUE
TRUE,"(Claassen, 1936)",amphinemura wui,Animalia,102543,,,,,Amphinemura,wui,,,amphinemura_wui,TRUE
TRUE,"Thomson, 1859",anacaena,Animalia,112878,,,,,Anacaena,,,,anacaena,TRUE
TRUE,"Hagen, 1861",anax longipes,Animalia,101599,,,,,Anax,longipes,,,anax_longipes,TRUE
TRUE,"(Melsheimer, 1846)",anchytarsus bicolor,Animalia,114668,,,,,Anchytarsus,bicolor,,,anchytarsus_bicolor,TRUE
TRUE,"Erichson, 1847",ancyronyx,Animalia,114193,,,,,Ancyronyx,,,,ancyronyx,TRUE
TRUE,"(Germar, 1824)",ancyronyx variegatus,Animalia,114194,,,,,Ancyronyx,variegatus,,,ancyronyx_variegatus,TRUE
TRUE,"Say, 1829",anodonta implicata,Animalia,79941,,,,,Anodonta,implicata,,,anodonta_implicata,TRUE
TRUE,"Lamarck, 1799",anodonta,Animalia,79930,,,,,Anodonta,,,,anodonta,TRUE
TRUE,"Meigen, 1818",anopheles,Animalia,125956,,,,,Anopheles,,,,anopheles,TRUE
TRUE,"McCafferty and Bae, 1990",anthopotamus,Animalia,568559,,,,,Anthopotamus,,,,anthopotamus,TRUE
TRUE,"(Say, 1839)",anthopotamus verticis,Animalia,609662,,,,,Anthopotamus,verticis,,,anthopotamus_verticis,TRUE
TRUE,"Osten Sacken, 1859",antocha,Animalia,119656,,,,,Antocha,,,,antocha,TRUE
TRUE,"Kolenati, 1848",apatania,Animalia,115935,,,,,Apatania,,,,apatania,TRUE
TRUE,"Townes, 1945",apedilum,Animalia,206655,,,,,Apedilum,,,,apedilum,TRUE
TRUE,"(Coquillett, 1901)",apsectrotanypus johnsoni,Animalia,128024,,,,,Apsectrotanypus,johnsoni,,,apsectrotanypus_johnsoni,TRUE
TRUE,"Martin, 1907",arcteonais lomondi,Animalia,68976,,,,,Arcteonais,lomondi,,,arcteonais_lomondi,TRUE
TRUE,"Piguet, 1928",arcteonais,Animalia,68975,,,,,Arcteonais,,,,arcteonais,TRUE
TRUE,"(Kolenati, 1859)",arctopsyche ladogensis,Animalia,115534,,,,,Arctopsyche,ladogensis,,,arctopsyche_ladogensis,TRUE
TRUE,"McLachlan, 1868",arctopsyche,Animalia,115529,,,,,Arctopsyche,,,,arctopsyche,TRUE
TRUE,"(Hagen, 1861)",argia moesta,Animalia,102146,,,,,Argia,moesta,,,argia_moesta,TRUE
TRUE,"Rambur, 1842",argia,Animalia,102139,,,,,Argia,,,,argia,TRUE
TRUE,"Dugès, 1834",arrenurus,Animalia,82864,,,,,Arrenurus,,,,arrenurus,TRUE
TRUE,"Meigen, 1803",atherix,Animalia,130929,,,,,Atherix,,,,atherix,TRUE
TRUE,"C. L. Koch, 1837",atractides,Animalia,83282,,,,,Atractides,,,,atractides,TRUE
TRUE,,atrichopogon,Animalia,127113,,,,,Atrichopogon,,,,atrichopogon,TRUE
TRUE,"(McDunnough, 1925)",attenella attenuata,Animalia,101340,,,,,Attenella,attenuata,,,attenella_attenuata,TRUE
TRUE,"(Needham, 1927)",attenella margarita,Animalia,101343,,,,,Attenella,margarita,,,attenella_margarita,TRUE
TRUE,"Edmunds, 1971",attenella,Animalia,101338,,,,,Attenella,,,,attenella,TRUE
TRUE,"Brinkhurst & Cook, 1966",aulodrilus americanus,Animalia,68683,,,,,Aulodrilus,americanus,,,aulodrilus_americanus,TRUE
TRUE,"Bretscher, 1899",aulodrilus limnobius,Animalia,68682,,,,,Aulodrilus,limnobius,,,aulodrilus_limnobius,TRUE
TRUE,"Kowalewski, 1914",aulodrilus pigueti,Animalia,68680,,,,,Aulodrilus,pigueti,,,aulodrilus_pigueti,TRUE
TRUE,"(Piguet, 1906)",aulodrilus pluriseta,Animalia,68684,,,,,Aulodrilus,pluriseta,,,aulodrilus_pluriseta,TRUE
TRUE,"Bretscher, 1899",aulodrilus,Animalia,68679,,,,,Aulodrilus,,,,aulodrilus,TRUE
TRUE,Say,axarus festivus,Animalia,129239,,,,,Axarus,festivus,,,axarus_festivus,TRUE
TRUE,Roback,axarus,Animalia,129236,,,,,Axarus,,,,axarus,TRUE
TRUE,"McDunnough, 1925",baetis brunneicolor,Animalia,100825,,,,,Baetis,brunneicolor,,,baetis_brunneicolor,TRUE
TRUE,"McDunnough, 1921",baetis flavistriga,Animalia,100835,,,,,Baetis,flavistriga,,,baetis_flavistriga,TRUE
TRUE,"McDunnough, 1921",baetis intercalaris,Animalia,100808,,,,,Baetis,intercalaris,,,baetis_intercalaris,TRUE
TRUE,"McDunnough, 1925",baetis pluto,Animalia,100858,,,,,Baetis,pluto,,,baetis_pluto,TRUE
TRUE,"Leach, 1815",baetis,Animalia,100800,,,,,Baetis,,,,baetis,TRUE
TRUE,"Dodds, 1923",baetis tricaudatus,Animalia,100817,,,,,Baetis,tricaudatus,,,baetis_tricaudatus,TRUE
TRUE,"Walsh, 1862",baetisca,Animalia,101494,,,,,Baetisca,,,,baetisca,TRUE
TRUE,"Selys, 1883",basiaeschna,Animalia,101648,,,,,Basiaeschna,,,,basiaeschna,TRUE
TRUE,"(Graf, 1899)",batracobdella phalera,Animalia,69374,,,,,Batracobdella,phalera,,,batracobdella_phalera,TRUE
TRUE,"Viguier, 1897",batracobdella,Animalia,69358,,,,,Batracobdella,,,,batracobdella,TRUE
TRUE,"Leach, 1817",berosus,Animalia,112812,,,,,Berosus,,,,berosus,TRUE
TRUE,,bezzia,Animalia,127778,,,,,Bezzia,,,,bezzia,TRUE
TRUE,"Leach, 1818",bithynia,Animalia,70793,,,,,Bithynia,,,,bithynia,TRUE
TRUE,"(Linnaeus, 1758)",bithynia tentaculata,Animalia,70794,,,,,Bithynia,tentaculata,,,bithynia_tentaculata,TRUE
TRUE,"Westwood, 1835",bittacomorpha,Animalia,125765,,,,,Bittacomorpha,,,,bittacomorpha,TRUE
TRUE,"Macquart, 1843",blepharicera,Animalia,121255,,,,,Blepharicera,,,,blepharicera,TRUE
TRUE,"Michaelsen, 1900",bothrioneurum,Animalia,68778,,,,,Bothrioneurum,,,,bothrioneurum,TRUE
TRUE,"Stolc, 1886",bothrioneurum vejdovskyanum,Animalia,68779,,,,,Bothrioneurum,vejdovskyanum,,,bothrioneurum_vejdovskyanum,TRUE
TRUE,"Williamson, 1907",boyeria grafiana,Animalia,101646,,,,,Boyeria,grafiana,,,boyeria_grafiana,TRUE
TRUE,"McLachlan, 1895",boyeria,Animalia,101645,,,,,Boyeria,,,,boyeria,TRUE
TRUE,"(Say, 1839)",boyeria vinosa,Animalia,101647,,,,,Boyeria,vinosa,,,boyeria_vinosa,TRUE
TRUE,"(Banks, 1899)",brachycentrus americanus,Animalia,116912,,,,,Brachycentrus,americanus,,,brachycentrus_americanus,TRUE
