MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Agnetina capitata,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,prd,"112,114",Plecoptera,"Phasganophora capitata, Neophasganophora capitata",intolerant,3,6,102979
Agnetina flavescens,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,prd,"112,114",Plecoptera,,intolerant,,,102984
Agnetina sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,prd,"112,114",Plecoptera,,intolerant,,,102975
Agraylea sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,8,c-g,125,Trichoptera,,tolerant,,,115635
Alisotrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,125,Trichoptera,,facultative,,,181197
Allocapnia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,3,shr,"52,114",Plecoptera,,intolerant,,,102644
Allocapnia vivipara,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,3,shr,"52,114",Plecoptera,,intolerant,,,102657
Alloperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,c-g,"83,114",Plecoptera,,intolerant,,,103203
Almyracuma proximoculi,ARTHROPODA,CRUSTACEA,CUMACEA,Nannastacidae,,5,c-g,48,Crustacea,,facultative,,,90979
Almyracuma sp.,ARTHROPODA,CRUSTACEA,CUMACEA,Nannastacidae,,5,c-g,48,Crustacea,,facultative,,,90978
Alotanypus aris,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,prd,36,Chironomidae,Alotanypus sp.,tolerant,,,
Alotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,prd,36,Chironomidae,,tolerant,,,206646
Ameletus ludens,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ameletidae,,0,c-g,"83,34",Ephemeroptera,,intolerant,,,101010
Ameletus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ameletidae,,0,c-g,83,Ephemeroptera,,intolerant,,,100996
Amnicola decepta,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,5,scr,"83,60",Mollusca,Amnicola lustrica,facultative,,,
Amnicola grana,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,5,scr,"60,83",Mollusca,,facultative,,,
Amnicola limosa,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,5,scr,"60,83",Mollusca,,facultative,,,
Amnicola sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,5,scr,"60,83",Mollusca,,facultative,,,70747
Amphichaeta americana,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68981
Amphichaeta sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68979
Amphinemura delosa,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,shr,54,Plecoptera,,intolerant,,,102541
Amphinemura nigritta,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,shr,54,Plecoptera,,intolerant,,,102542
Amphinemura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,shr,"83,114",Plecoptera,,intolerant,,,102540
Amphinemura wui,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,shr,54,Plecoptera,,intolerant,,,102543
Anacaena sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,c-g,"83,123",Coleoptera,,facultative,,,112878
Anax longipes,ARTHROPODA,INSECTA,ODONATA,Aeshnidae,,7,prd,,Insects-Other,,facultative,,,101599
Anchytarsus bicolor,ARTHROPODA,INSECTA,COLEOPTERA,Ptilodactylidae,,3,shr,19,Coleoptera,,intolerant,,,114668
Ancyronyx sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,c-g,19,Coleoptera,,facultative,,,114193
Ancyronyx variegatus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,c-g,19,Coleoptera,,facultative,,,114194
Anodonta implicata,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,c-f,"116,83,3",Mollusca,,facultative,,,79941
Anodonta sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,c-f,"116,83,3",Mollusca,,facultative,,,79930
Anopheles sp.,ARTHROPODA,INSECTA,DIPTERA,Culicidae,,8,c-f,83,Insects-other,,tolerant,,,125956
Anthopotamus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Potamanthidae,,4,c-g,"83,73",Ephemeroptera,Potamanthus sp.,intolerant,4,5,568559
